Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Line,Product Type,Product,Profit,Sales,State,Total Expenses,Type,Order Date (MDY),Order Date (DMY)
970,$100 ,$140 ,$110 ,$240 ,$95 ,821,$139 ,Major Market,Central,$26 ,1,Beans,Coffee,Decaf Irish Cream,$101 ,$234 ,Colorado,$38 ,Decaf,11/8/2017,8/11/2017
309,$100 ,$140 ,$100 ,$240 ,$95 ,608,$139 ,Major Market,Central,$30 ,1,Beans,Coffee,Decaf Irish Cream,$87 ,$234 ,Illinois,$52 ,Decaf,11/8/2017,8/11/2017
614,$60 ,$90 ,$20 ,$150 ,$63 ,435,$87 ,Major Market,Central,$57 ,1,Beans,Coffee,Decaf Irish Cream,$0 ,$150 ,Ohio,$87 ,Decaf,6/12/2017,12/6/2017
720,$80 ,$130 ,$80 ,$210 ,$72 ,558,$108 ,Major Market,Central,$23 ,1,Beans,Espresso,Decaf Espresso,$53 ,$180 ,Colorado,$55 ,Decaf,10/11/2016,11/10/2016
630,$260 ,$270 ,$180 ,$530 ,$228 ,"1,459",$228 ,Major Market,Central,$63 ,1,Beans,Espresso,Decaf Espresso,$140 ,$456 ,Illinois,$88 ,Decaf,10/11/2016,11/10/2016
614,$60 ,$90 ,$40 ,$150 ,$58 ,338,$72 ,Major Market,Central,$22 ,1,Beans,Espresso,Decaf Espresso,$16 ,$130 ,Ohio,$56 ,Decaf,6/9/2015,9/6/2015
754,$80 ,$110 ,$70 ,$190 ,$84 ,500,$116 ,Major Market,East,$26 ,1,Beans,Coffee,Decaf Irish Cream,$67 ,$200 ,Florida,$49 ,Decaf,6/9/2015,9/6/2015
754,$70 ,$100 ,$60 ,$170 ,$77 ,432,$103 ,Major Market,East,$25 ,1,Beans,Espresso,Decaf Espresso,$50 ,$180 ,Florida,$53 ,Decaf,6/9/2015,9/6/2015
325,$100 ,$130 ,$100 ,$230 ,$83 ,623,$107 ,Major Market,South,$27 ,1,Beans,Coffee,Decaf Irish Cream,$68 ,$190 ,Texas,$39 ,Decaf,6/9/2015,9/6/2015
956,$40 ,$70 ,$60 ,$110 ,$54 ,456,$80 ,Major Market,South,$15 ,1,Beans,Espresso,Decaf Espresso,$54 ,$134 ,Texas,$26 ,Decaf,6/9/2015,9/6/2015
650,$180 ,($40),($120),$140 ,$144 ,862,($26),Major Market,West,$47 ,1,Beans,Coffee,Decaf Irish Cream,($117),$118 ,California,$91 ,Decaf,6/9/2015,9/6/2015
213,$220 ,$300 ,$200 ,$520 ,$234 ,"1,310",$312 ,Major Market,West,$77 ,1,Beans,Espresso,Decaf Espresso,$203 ,$546 ,California,$109 ,Decaf,6/9/2015,9/6/2015
719,$90 ,$130 ,$100 ,$220 ,$89 ,777,$130 ,Major Market,Central,$24 ,1,Beans,Coffee,Amaretto,$94 ,$219 ,Colorado,$36 ,Regular,4/15/2018,15/4/2018
740,$60 ,$80 ,$50 ,$140 ,$60 ,336,$80 ,Major Market,Central,$19 ,1,Beans,Coffee,Amaretto,$34 ,$140 ,Ohio,$46 ,Regular,12/5/2017,5/12/2017
970,$80 ,$110 ,$80 ,$190 ,$83 ,623,$107 ,Major Market,Central,$27 ,1,Beans,Coffee,Colombian,$68 ,$190 ,Colorado,$39 ,Regular,11/22/2016,22/11/2016
217,$150 ,$210 ,$130 ,$360 ,$144 ,862,$201 ,Major Market,Central,$47 ,1,Beans,Coffee,Colombian,$111 ,$345 ,Illinois,$90 ,Regular,11/22/2016,22/11/2016
614,$60 ,$80 ,$50 ,$140 ,$57 ,364,$83 ,Major Market,Central,$18 ,1,Beans,Coffee,Colombian,$42 ,$140 ,Ohio,$41 ,Regular,11/11/2015,11/11/2015
303,$60 ,$90 ,$70 ,$150 ,$54 ,456,$80 ,Major Market,Central,$15 ,1,Beans,Espresso,Caffe Mocha,$54 ,$134 ,Colorado,$26 ,Regular,5/13/2015,13/5/2015
309,$270 ,$370 ,$260 ,$640 ,$234 ,"1,310",$312 ,Major Market,Central,$77 ,1,Beans,Espresso,Caffe Mocha,$203 ,$546 ,Illinois,$109 ,Regular,8/27/2015,27/8/2015
614,$190 ,$210 ,$140 ,$400 ,$170 ,"1,091",$171 ,Major Market,Central,$47 ,1,Beans,Espresso,Caffe Mocha,$99 ,$341 ,Ohio,$72 ,Regular,8/27/2015,27/8/2015
954,$80 ,$110 ,$70 ,$190 ,$84 ,651,$126 ,Major Market,East,$27 ,1,Beans,Coffee,Colombian,$68 ,$210 ,Florida,$58 ,Regular,8/27/2015,27/8/2015
413,$60 ,$400 ,$360 ,$460 ,$72 ,558,$422 ,Major Market,East,$23 ,1,Beans,Coffee,Colombian,$367 ,$494 ,Massachusetts,$55 ,Regular,12/9/2017,9/12/2017
716,$260 ,$380 ,$260 ,$640 ,$271 ,"2,101",$407 ,Major Market,East,$94 ,1,Beans,Coffee,Colombian,$262 ,$678 ,New York,$145 ,Regular,12/9/2017,9/12/2017
239,$70 ,$110 ,$30 ,$180 ,$79 ,551,$111 ,Major Market,East,$72 ,1,Beans,Espresso,Caffe Mocha,$9 ,$190 ,Florida,$102 ,Regular,7/16/2018,16/7/2018
781,$60 ,$60 ,($10),$120 ,$63 ,435,$63 ,Major Market,East,$57 ,1,Beans,Espresso,Caffe Mocha,($23),$126 ,Massachusetts,$86 ,Regular,9/25/2016,25/9/2016
